"Kreis","Land- und Forstwirtschaft, Fischerei (A)","Produzierendes Gewerbe ohne Baugewerbe (B-E)","Verarbeitendes Gewerbe (C)","Baugewerbe (F)","Handel,Verkehr,Gastgewerbe,Informa-/Kommunikation","Fin-,Vers.-,Unt.-dienstl.,Grundst.-/Wohnungswesen","öffentl. u. sonst. Dienstl.,Erziehung, Gesundheit"
"Nürnberger Land, Landkreis",0.8,20.6,19.9,4.2,17.8,9.1,22
"Neustadt a.d.Aisch-Bad Windsheim, Landkreis",2.4,11.1,10.8,3.3,10.2,5.9,12.3
"Roth, Landkreis",1.4,13.9,13.2,4.4,13.6,5.3,14.2
"Weißenburg-Gunzenhausen, Landkreis",1.3,13.3,12.1,2.8,9.3,4.2,13.9
"Aschaffenburg",0.1,11.5,10.7,2.6,17.5,10.4,18.4
"Schweinfurt",0,25.6,25,2.2,11.5,8,18.4
"Würzburg",0.4,10.2,9,2.8,32.1,19.9,55.5
"Aschaffenburg, Landkreis",0.9,19.1,18.3,6,20.7,9.8,13.8
"Bad Kissingen, Landkreis",1,7.6,7.3,5.1,10.5,5.8,22.9
"Rhön-Grabfeld, Landkreis",1,13.2,12.7,3,8.4,3.6,13
"Haßberge, Landkreis",1.1,14.7,14.2,2.6,7.7,3.7,9.9
